time,o,h,l,c,volume,complete
2020-11-19 14:00:00,1.18304,1.18306,1.18275,1.18277,68,True
2020-11-19 14:00:30,1.18278,1.1828,1.18275,1.1828,21,True
2020-11-19 14:01:00,1.18278,1.18284,1.18278,1.18284,38,True
2020-11-19 14:01:30,1.18286,1.18286,1.1828,1.18284,39,True
2020-11-19 14:02:00,1.18283,1.18284,1.1828,1.18284,18,True
2020-11-19 14:02:30,1.18286,1.18291,1.18286,1.18289,17,True
2020-11-19 14:03:00,1.1829,1.18292,1.1827,1.18272,37,True
2020-11-19 14:03:30,1.18272,1.18274,1.1826,1.18264,30,True
2020-11-19 14:04:00,1.18264,1.18264,1.18261,1.18263,32,True
2020-11-19 14:04:30,1.18265,1.18276,1.18265,1.18272,29,True
2020-11-19 14:05:00,1.18274,1.18278,1.1827,1.18273,17,True
2020-11-19 14:05:30,1.18272,1.18273,1.18264,1.18269,25,True
2020-11-19 14:06:00,1.18268,1.18268,1.18262,1.18266,28,True
2020-11-19 14:06:30,1.18266,1.18266,1.18258,1.1826,38,True
2020-11-19 14:07:00,1.18261,1.18264,1.18258,1.18261,35,True
2020-11-19 14:07:30,1.18262,1.18263,1.18246,1.18252,51,True
2020-11-19 14:08:00,1.18254,1.1826,1.18251,1.1826,38,True
2020-11-19 14:08:30,1.18261,1.18273,1.1826,1.18272,59,True
2020-11-19 14:09:00,1.1827,1.18272,1.18254,1.18262,52,True
2020-11-19 14:09:30,1.1826,1.18264,1.1826,1.18262,23,True
2020-11-19 14:10:00,1.18264,1.18274,1.18261,1.18274,49,True
2020-11-19 14:10:30,1.18274,1.18284,1.18274,1.18282,45,True
2020-11-19 14:11:00,1.18281,1.18293,1.18281,1.1829,32,True
2020-11-19 14:11:30,1.18289,1.18292,1.18284,1.1829,36,True
2020-11-19 14:12:00,1.18292,1.18294,1.18278,1.1828,52,True
2020-11-19 14:12:30,1.18281,1.18282,1.1827,1.18272,47,True
2020-11-19 14:13:00,1.1827,1.18274,1.18254,1.18254,60,True
2020-11-19 14:13:30,1.18256,1.1826,1.18251,1.18254,60,True
2020-11-19 14:14:00,1.18254,1.18259,1.18242,1.18258,50,True
2020-11-19 14:14:30,1.18256,1.18257,1.1825,1.1825,51,True
2020-11-19 14:15:00,1.18248,1.18252,1.18242,1.18244,42,True
2020-11-19 14:15:30,1.18244,1.18244,1.1823,1.18235,65,True
2020-11-19 14:16:00,1.18236,1.1824,1.18232,1.18235,33,True
2020-11-19 14:16:30,1.18236,1.1824,1.18233,1.1824,30,True
2020-11-19 14:17:00,1.18241,1.18258,1.18241,1.1825,61,True
2020-11-19 14:17:30,1.18252,1.18254,1.18247,1.18251,37,True
2020-11-19 14:18:00,1.1825,1.18253,1.18249,1.1825,29,True
2020-11-19 14:18:30,1.18252,1.18261,1.1825,1.18258,54,True
2020-11-19 14:19:00,1.18258,1.18264,1.18255,1.18258,33,True
