time,o,h,l,c,volume,complete
2020-11-19 08:37:30,1.18338,1.18339,1.18332,1.18336,45,True
2020-11-19 08:38:00,1.18337,1.1834,1.18335,1.18338,37,True
2020-11-19 08:38:30,1.18338,1.1834,1.18334,1.18336,32,True
2020-11-19 08:39:00,1.18335,1.18338,1.18332,1.18332,29,True
2020-11-19 08:39:30,1.18334,1.1834,1.18334,1.18336,20,True
2020-11-19 08:40:00,1.18338,1.1834,1.18333,1.1834,50,True
2020-11-19 08:40:30,1.18338,1.1834,1.18336,1.18338,44,True
2020-11-19 08:41:00,1.18338,1.1835,1.18338,1.18346,44,True
2020-11-19 08:41:30,1.18347,1.1835,1.18344,1.1835,17,True
2020-11-19 08:42:00,1.18348,1.18352,1.18344,1.1835,46,True
2020-11-19 08:42:30,1.18349,1.1836,1.18348,1.18355,38,True
2020-11-19 08:43:00,1.18353,1.18362,1.18353,1.18357,43,True
2020-11-19 08:43:30,1.18356,1.18364,1.18355,1.18361,19,True
2020-11-19 08:44:00,1.1836,1.18362,1.18352,1.18362,49,True
2020-11-19 08:44:30,1.1836,1.18378,1.1836,1.18378,53,True
2020-11-19 08:45:00,1.18378,1.18378,1.18362,1.18368,61,True
2020-11-19 08:45:30,1.18366,1.18376,1.18363,1.18368,49,True
2020-11-19 08:46:00,1.1837,1.18386,1.18364,1.18385,75,True
2020-11-19 08:46:30,1.18386,1.184,1.18383,1.18383,46,True
2020-11-19 08:47:00,1.18384,1.18386,1.18364,1.1837,78,True
2020-11-19 08:47:30,1.1837,1.18371,1.18356,1.1836,59,True
2020-11-19 08:48:00,1.1836,1.18362,1.18346,1.1835,85,True
2020-11-19 08:48:30,1.18349,1.18351,1.18341,1.18342,60,True
2020-11-19 08:49:00,1.18341,1.18341,1.18322,1.18325,79,True
2020-11-19 08:49:30,1.18326,1.18332,1.18323,1.18325,40,True
2020-11-19 08:50:00,1.18326,1.1833,1.18322,1.18323,33,True
2020-11-19 08:50:30,1.18324,1.18324,1.18312,1.18312,62,True
2020-11-19 08:51:00,1.1831,1.18322,1.18282,1.18282,85,True
2020-11-19 08:51:30,1.18281,1.18284,1.18266,1.18274,109,True
2020-11-19 08:52:00,1.18272,1.18274,1.18255,1.18261,73,True
2020-11-19 08:52:30,1.18262,1.18269,1.18256,1.18259,62,True
2020-11-19 08:53:00,1.18258,1.18264,1.18256,1.18258,52,True
2020-11-19 08:53:30,1.18258,1.18258,1.18246,1.18252,40,True
2020-11-19 08:54:00,1.18254,1.18256,1.18244,1.18252,64,True
2020-11-19 08:54:30,1.18254,1.18254,1.18234,1.18234,57,True
2020-11-19 08:55:00,1.18235,1.18244,1.18218,1.18232,89,True
2020-11-19 08:55:30,1.18232,1.18236,1.18224,1.18226,61,True
2020-11-19 08:56:00,1.18226,1.18264,1.18226,1.18263,117,True
2020-11-19 08:56:30,1.18262,1.18272,1.18249,1.1825,97,True
2020-11-19 08:57:00,1.18249,1.18252,1.18233,1.18246,87,True
2020-11-19 08:57:30,1.18247,1.18252,1.18237,1.18241,57,True
2020-11-19 08:58:00,1.1824,1.18254,1.18228,1.18254,63,True
2020-11-19 08:58:30,1.18252,1.18254,1.18244,1.18248,65,True
2020-11-19 08:59:00,1.1825,1.18262,1.1824,1.18262,87,True
2020-11-19 08:59:30,1.18263,1.18269,1.18254,1.18268,75,True
2020-11-19 09:00:00,1.18269,1.18269,1.18242,1.18244,88,True
2020-11-19 09:00:30,1.18246,1.18252,1.18242,1.18246,63,True
2020-11-19 09:01:00,1.18244,1.18244,1.18232,1.18234,73,True
2020-11-19 09:01:30,1.18235,1.18252,1.18227,1.18252,84,True
2020-11-19 09:02:00,1.18252,1.18276,1.1825,1.18272,73,True
2020-11-19 09:02:30,1.18273,1.18286,1.18269,1.18282,106,True
2020-11-19 09:03:00,1.18283,1.18293,1.18278,1.1829,92,True
2020-11-19 09:03:30,1.18289,1.183,1.18287,1.183,72,True
2020-11-19 09:04:00,1.18302,1.18303,1.18282,1.18282,84,True
2020-11-19 09:04:30,1.18282,1.18292,1.18276,1.1829,46,True
2020-11-19 09:05:00,1.18289,1.18295,1.18288,1.18291,53,True
2020-11-19 09:05:30,1.1829,1.18305,1.1829,1.18305,42,True
2020-11-19 09:06:00,1.18306,1.18307,1.18302,1.18306,22,True
2020-11-19 09:06:30,1.18308,1.1832,1.18307,1.18313,39,True
2020-11-19 09:07:00,1.18312,1.18316,1.18312,1.18314,35,True
2020-11-19 09:07:30,1.18314,1.18328,1.18312,1.18328,50,True
2020-11-19 09:08:00,1.18328,1.18338,1.18326,1.18336,50,True
2020-11-19 09:08:30,1.18335,1.18343,1.18332,1.18341,53,True
2020-11-19 09:09:00,1.1834,1.1834,1.18328,1.18334,38,True
2020-11-19 09:09:30,1.18336,1.18336,1.18313,1.18316,74,True
2020-11-19 09:10:00,1.18317,1.18318,1.18312,1.18312,30,True
2020-11-19 09:10:30,1.18314,1.18314,1.18298,1.18303,50,True
2020-11-19 09:11:00,1.18302,1.18317,1.18299,1.18317,73,True
2020-11-19 09:11:30,1.18316,1.1832,1.18312,1.18312,39,True
2020-11-19 09:12:00,1.18312,1.18334,1.18309,1.18328,46,True
2020-11-19 09:12:30,1.18329,1.1833,1.18318,1.18318,36,True
2020-11-19 09:13:00,1.1832,1.18326,1.18317,1.18318,43,True
2020-11-19 09:13:30,1.1832,1.18329,1.18318,1.18326,37,True
2020-11-19 09:14:00,1.18324,1.18328,1.18317,1.18317,47,True
2020-11-19 09:14:30,1.18318,1.18324,1.18318,1.18322,18,True
2020-11-19 09:15:00,1.18324,1.18329,1.18321,1.18324,43,True
2020-11-19 09:15:30,1.18322,1.18322,1.18306,1.1831,63,True
2020-11-19 09:16:00,1.18311,1.18329,1.18287,1.18292,80,True
