time,o,h,l,c,volume,complete
2020-11-19 13:00:00,1.18361,1.18366,1.18335,1.18336,123,True
2020-11-19 13:00:30,1.18337,1.18342,1.18321,1.18324,89,True
2020-11-19 13:01:00,1.18324,1.18329,1.18304,1.18305,84,True
2020-11-19 13:01:30,1.18306,1.18314,1.18301,1.18309,115,True
2020-11-19 13:02:00,1.1831,1.18311,1.18292,1.18302,67,True
2020-11-19 13:02:30,1.18304,1.18305,1.183,1.18303,46,True
2020-11-19 13:03:00,1.18302,1.18322,1.18302,1.18322,49,True
2020-11-19 13:03:30,1.18324,1.18324,1.1831,1.1831,27,True
2020-11-19 13:04:00,1.18312,1.18313,1.18309,1.1831,16,True
2020-11-19 13:04:30,1.1831,1.18313,1.18298,1.18303,32,True
2020-11-19 13:05:00,1.18304,1.18306,1.18301,1.18303,43,True
2020-11-19 13:05:30,1.18304,1.18318,1.18304,1.18312,41,True
2020-11-19 13:06:00,1.18313,1.18313,1.18308,1.18309,26,True
2020-11-19 13:06:30,1.1831,1.18313,1.18286,1.18288,60,True
2020-11-19 13:07:00,1.18288,1.18303,1.18286,1.183,49,True
2020-11-19 13:07:30,1.18298,1.18303,1.1829,1.18291,54,True
2020-11-19 13:08:00,1.1829,1.18296,1.18286,1.18295,33,True
2020-11-19 13:08:30,1.18296,1.1831,1.18296,1.18304,40,True
2020-11-19 13:09:00,1.18303,1.18318,1.18302,1.18314,28,True
2020-11-19 13:09:30,1.18314,1.18317,1.18307,1.18317,39,True
2020-11-19 13:10:00,1.18316,1.18324,1.18312,1.18314,37,True
2020-11-19 13:10:30,1.18314,1.18327,1.18314,1.18321,50,True
2020-11-19 13:11:00,1.18322,1.18329,1.18318,1.18328,47,True
2020-11-19 13:11:30,1.18327,1.18329,1.1832,1.1832,29,True
2020-11-19 13:12:00,1.18322,1.18326,1.18316,1.18326,29,True
2020-11-19 13:12:30,1.18324,1.18328,1.18322,1.18322,32,True
2020-11-19 13:13:00,1.18324,1.18326,1.1832,1.18324,27,True
2020-11-19 13:13:30,1.18322,1.18328,1.18318,1.18322,38,True
2020-11-19 13:14:00,1.18324,1.1833,1.18322,1.1833,26,True
2020-11-19 13:14:30,1.1833,1.1833,1.18324,1.18326,28,True
2020-11-19 13:15:00,1.18328,1.18328,1.18303,1.18303,39,True
2020-11-19 13:15:30,1.18302,1.18318,1.18302,1.18316,42,True
2020-11-19 13:16:00,1.18317,1.1833,1.18317,1.1833,42,True
2020-11-19 13:16:30,1.18328,1.18347,1.18327,1.18346,40,True
2020-11-19 13:17:00,1.18344,1.18347,1.18336,1.18336,51,True
2020-11-19 13:17:30,1.18335,1.18344,1.18335,1.18342,26,True
2020-11-19 13:18:00,1.18341,1.18346,1.18341,1.18346,28,True
2020-11-19 13:18:30,1.18348,1.18354,1.18342,1.18352,49,True
2020-11-19 13:19:00,1.18354,1.18365,1.18352,1.18352,48,True
2020-11-19 13:19:30,1.18354,1.18359,1.18352,1.18356,37,True
2020-11-19 13:20:00,1.18354,1.18354,1.1834,1.1834,35,True
2020-11-19 13:20:30,1.18342,1.18356,1.1834,1.18342,79,True
2020-11-19 13:21:00,1.18342,1.18352,1.18339,1.18351,45,True
2020-11-19 13:21:30,1.18352,1.18356,1.18346,1.18346,46,True
2020-11-19 13:22:00,1.18344,1.18358,1.1834,1.18358,34,True
2020-11-19 13:22:30,1.18357,1.18357,1.1835,1.18351,31,True
2020-11-19 13:23:00,1.1835,1.18352,1.18346,1.18351,25,True
2020-11-19 13:23:30,1.18352,1.18359,1.18346,1.18352,41,True
2020-11-19 13:24:00,1.18352,1.18352,1.18348,1.18349,20,True
2020-11-19 13:24:30,1.18347,1.18354,1.18342,1.18342,29,True
2020-11-19 13:25:00,1.18343,1.18346,1.18342,1.18345,22,True
2020-11-19 13:25:30,1.18344,1.18346,1.18342,1.18346,28,True
2020-11-19 13:26:00,1.18344,1.18346,1.18344,1.18346,7,True
2020-11-19 13:26:30,1.18344,1.18346,1.18332,1.18335,48,True
2020-11-19 13:27:00,1.18333,1.18333,1.18326,1.18332,34,True
2020-11-19 13:27:30,1.1833,1.1833,1.18326,1.1833,26,True
2020-11-19 13:28:00,1.18328,1.1833,1.18328,1.18328,11,True
2020-11-19 13:28:30,1.1833,1.1833,1.18314,1.18314,20,True
2020-11-19 13:29:00,1.18316,1.18322,1.18314,1.18319,25,True
2020-11-19 13:29:30,1.18318,1.18322,1.1831,1.1831,29,True
2020-11-19 13:30:00,1.18312,1.1832,1.18304,1.18306,42,True
2020-11-19 13:30:30,1.18304,1.18306,1.18292,1.18298,59,True
2020-11-19 13:31:00,1.183,1.18308,1.18294,1.183,46,True
2020-11-19 13:31:30,1.18298,1.183,1.18298,1.183,22,True
2020-11-19 13:32:00,1.18298,1.183,1.1829,1.183,36,True
2020-11-19 13:32:30,1.183,1.18312,1.18295,1.18312,26,True
2020-11-19 13:33:00,1.18313,1.18314,1.18298,1.18304,49,True
2020-11-19 13:33:30,1.18302,1.18304,1.18294,1.183,28,True
2020-11-19 13:34:00,1.18302,1.18318,1.18302,1.18318,35,True
2020-11-19 13:34:30,1.18316,1.18318,1.18306,1.18306,37,True
2020-11-19 13:35:00,1.18304,1.18309,1.183,1.183,39,True
2020-11-19 13:35:30,1.18298,1.18298,1.18286,1.18292,48,True
2020-11-19 13:36:00,1.18293,1.18295,1.18292,1.18294,22,True
2020-11-19 13:36:30,1.18292,1.18304,1.18288,1.18296,46,True
2020-11-19 13:37:00,1.18295,1.18298,1.1828,1.1828,49,True
2020-11-19 13:37:30,1.1828,1.183,1.18274,1.183,95,True
2020-11-19 13:38:00,1.18302,1.18315,1.18294,1.18298,94,True
2020-11-19 13:38:30,1.18297,1.183,1.18284,1.18298,73,True
2020-11-19 13:39:00,1.18296,1.18303,1.18294,1.18303,52,True
2020-11-19 13:39:30,1.18304,1.18308,1.183,1.18302,39,True
2020-11-19 13:40:00,1.183,1.18307,1.18292,1.18306,57,True
2020-11-19 13:40:30,1.18306,1.18314,1.18303,1.18309,44,True
2020-11-19 13:41:00,1.18308,1.18308,1.1829,1.18297,68,True
2020-11-19 13:41:30,1.18296,1.18298,1.18286,1.18295,36,True
2020-11-19 13:42:00,1.18296,1.18308,1.18292,1.18306,49,True
2020-11-19 13:42:30,1.18306,1.18308,1.18295,1.18305,49,True
2020-11-19 13:43:00,1.18306,1.1831,1.18306,1.18306,27,True
2020-11-19 13:43:30,1.18308,1.18308,1.18296,1.18304,32,True
2020-11-19 13:44:00,1.18303,1.18304,1.18301,1.18302,41,True
2020-11-19 13:44:30,1.18301,1.18312,1.18296,1.18311,36,True
2020-11-19 13:45:00,1.1831,1.1831,1.18289,1.1829,32,True
2020-11-19 13:45:30,1.18292,1.183,1.1829,1.183,24,True
2020-11-19 13:46:00,1.18298,1.183,1.18292,1.18298,37,True
2020-11-19 13:46:30,1.18298,1.18302,1.18291,1.18291,43,True
2020-11-19 13:47:00,1.18292,1.18294,1.18287,1.18287,49,True
2020-11-19 13:47:30,1.18288,1.18288,1.18276,1.18283,37,True
2020-11-19 13:48:00,1.18284,1.18294,1.18284,1.18289,39,True
2020-11-19 13:48:30,1.18288,1.18298,1.18287,1.18293,53,True
2020-11-19 13:49:00,1.18294,1.183,1.1829,1.18292,74,True
2020-11-19 13:49:30,1.18292,1.1831,1.18292,1.1831,35,True
2020-11-19 13:50:00,1.18308,1.1831,1.18306,1.18309,25,True
2020-11-19 13:50:30,1.1831,1.18312,1.18306,1.18309,42,True
2020-11-19 13:51:00,1.18308,1.18312,1.18302,1.18302,47,True
2020-11-19 13:51:30,1.18304,1.18323,1.18304,1.18317,70,True
2020-11-19 13:52:00,1.18316,1.18342,1.18316,1.18336,67,True
2020-11-19 13:52:30,1.18335,1.18342,1.18332,1.18342,47,True
2020-11-19 13:53:00,1.1834,1.18345,1.18338,1.18342,34,True
2020-11-19 13:53:30,1.18342,1.1835,1.1834,1.18348,44,True
2020-11-19 13:54:00,1.18348,1.18348,1.18332,1.18348,55,True
2020-11-19 13:54:30,1.18347,1.18347,1.18308,1.1831,69,True
2020-11-19 13:55:00,1.18309,1.1832,1.183,1.18303,57,True
2020-11-19 13:55:30,1.18302,1.18313,1.18298,1.18298,57,True
2020-11-19 13:56:00,1.183,1.18311,1.183,1.18309,29,True
2020-11-19 13:56:30,1.18308,1.18314,1.18307,1.18312,42,True
2020-11-19 13:57:00,1.18311,1.1832,1.18298,1.1832,53,True
2020-11-19 13:57:30,1.18318,1.18321,1.18308,1.1831,37,True
2020-11-19 13:58:00,1.18308,1.18308,1.18296,1.18296,63,True
2020-11-19 13:58:30,1.18297,1.18304,1.18296,1.18302,33,True
2020-11-19 13:59:00,1.18303,1.18304,1.18286,1.1829,62,True
2020-11-19 13:59:30,1.18291,1.18303,1.18291,1.18303,32,True
2020-11-19 14:00:00,1.18304,1.18306,1.18275,1.18277,68,True
